urls,valoracion,numero_votos
https://es.restaurantguru.com/Lord-Byron-Aviles,82,1232
https://es.restaurantguru.com/Cafeteria-Alfaraz-Aviles-2,74,40
https://es.restaurantguru.com/Grandes-Vinos-Aviles,74,34
https://es.restaurantguru.com/Semilla-Negra-Aviles,74,30
https://es.restaurantguru.com/Romos-Aviles,80,310
https://es.restaurantguru.com/Paco-Menta-Aviles,76,300
https://es.restaurantguru.com/Bingo-Eden-Aviles,72,440
https://es.restaurantguru.com/La-Calendula-Aviles,68,13
https://es.restaurantguru.com/CAFE-BAR-ANAIS-Aviles,74,20
https://es.restaurantguru.com/El-Piano-De-Santa-Monica-Aviles,82,220
https://es.restaurantguru.com/Karan-Aviles,76,381
https://es.restaurantguru.com/Emperador-Aviles,72,57
https://es.restaurantguru.com/Cafe-cardinal-Aviles,70,46
https://es.restaurantguru.com/Bulevar-21-Aviles,74,985
https://es.restaurantguru.com/Cafe-Bar-Piol-Aviles,72,150
https://es.restaurantguru.com/Cafeteria-Las-Torres-Aviles,72,141
https://es.restaurantguru.com/Cafe-Bar-Rocco-Aviles,76,54
https://es.restaurantguru.com/Cafebar-Eltaller-Aviles,65,49
https://es.restaurantguru.com/Mis-Dulces-26-Aviles,86,775
https://es.restaurantguru.com/CAFE-PALACIO-VALDES-Aviles,72,51
https://es.restaurantguru.com/Meeting-Point-Aviles,84,1140
https://es.restaurantguru.com/Bidul-Aviles,68,274
https://es.restaurantguru.com/Bar-LD3-Aviles,72,47
https://es.restaurantguru.com/Parrilla-Sidreria-Panorama-Aviles-2,60,295
https://es.restaurantguru.com/Cafe-Bar-Santa-Barbara-Aviles,74,640
https://es.restaurantguru.com/Cafe-Marvi-Aviles,74,293
https://es.restaurantguru.com/Bar-Alvi-Aviles,70,47
https://es.restaurantguru.com/La-Sastreria-Aviles,72,1385
https://es.restaurantguru.com/REPSOL-Aviles-2,72,154
https://es.restaurantguru.com/Bar-castaneda-Localizacion-Aviles,70,68
https://es.restaurantguru.com/Cocolet-Aviles,70,127
https://es.restaurantguru.com/cafe-divino-Aviles,70,104
https://es.restaurantguru.com/Bodeguina-El-Cano-Aviles,68,251
https://es.restaurantguru.com/Todo-Pan-Aviles,64,63
https://es.restaurantguru.com/Cafe-papon-Aviles,72,126
https://es.restaurantguru.com/EL-LIENZO-Aviles,70,85
https://es.restaurantguru.com/Dream-Sport-Aviles,80,681
https://es.restaurantguru.com/Spass-Aviles,78,293
https://es.restaurantguru.com/Bar-Fielato-Aviles,70,92
https://es.restaurantguru.com/Autobar-Restaurante-Grado-Asturias,64,52
https://es.restaurantguru.com/Casa-Pepe-El-Bueno-Grado-Asturias,84,2040
https://es.restaurantguru.com/Pimienta-Y-Clavo-Grado-Asturias,82,1408
https://es.restaurantguru.com/Feudo-Real-Grado-Asturias,86,1779
https://es.restaurantguru.com/Restaurante-Avenida-del-Mar-Corralejo,74,24
https://es.restaurantguru.com/El-Rincon-de-Fufo-Grado-Asturias,88,913
https://es.restaurantguru.com/Carita-Morena-Grado-Asturias,74,278
https://es.restaurantguru.com/Vemar-Grado-Asturias,70,95
https://es.restaurantguru.com/Restaurante-El-Tiro-Alcubiella,68,233
https://es.restaurantguru.com/Sidreria-Pepe-el-Bueno-Grado-Asturias-3,68,152
https://es.restaurantguru.com/La-Espuela-CafeBar-Grado-Asturias,72,139
https://es.restaurantguru.com/Nueva-pulperia-Katysan-Grado-Asturias,84,94
https://es.restaurantguru.com/Restaurante-Linde-Grado-Asturias,65,58
https://es.restaurantguru.com/Piccolo-Cafe-Burger-Grado-Asturias,76,307
https://es.restaurantguru.com/Pulperia-Katisan-Grado-Asturias,72,483
https://es.restaurantguru.com/Bar-Manantial-Comida-casera-Tapas-Grado-Asturias,80,146
https://es.restaurantguru.com/El-Lacayo-De-Sestielo-Sestiello,78,266
